year,month,ff4_hf,sp500_hf,gs1,logsp500,us_rgdp,us_gdpdef,ebpnew
2001,1,-0.19405822,3.99301,5.98,547.290072724687,493.9466753761898,431.6581035598813,2.77
2001,2,0.0,0.0,5.49,540.7709743319233,493.7474410478525,431.812790882365,2.77
2001,3,-0.06791155,-0.60045,5.31,541.9516781949881,493.9002016403824,431.82211781121396,2.95
2001,4,-0.50644109,2.32456,4.8,536.4994224812317,494.5355672944135,431.99783436712227,2.93
2001,5,-0.14831302,0.37291,4.21,535.5878477072567,494.9768010574369,432.2608316230881,2.68
2001,6,0.08603963,-0.52379,3.97,537.3656723093852,494.34507618722836,432.43710384357155,2.69
2001,7,0.0,0.0,3.77,534.0178820642955,494.316959059339,432.40399367248676,2.73
2001,8,-0.09010571,-0.6934,3.65,534.7202764277847,495.40050334706575,432.39207132668486,2.88
2001,9,-0.07529557,,3.07,538.692330488206,493.9540950791943,432.05102090686324,3.3
2001,10,-0.0603141,-0.35196,2.49,536.6209632590956,494.832773770569,432.40266903758925,3.34
2001,11,-0.17758018,0.6426,2.09,535.9882722206191,494.4092612705794,432.33508938046856,3.16
2001,12,-0.0724479,0.26526,1.82,538.1324905531645,496.07140152909324,432.2316438392951,2.96
2002,1,0.02633679,-0.03735,1.73,538.6282455276681,496.2869382812029,432.3218331102334,2.83
2002,2,0.0,0.0,1.74,539.671368840423,495.7658315552563,432.4900573251764,2.98
2002,3,-0.07093456,-0.33914,1.73,543.5772302001885,496.10513669912376,432.7610046826654,2.83
2002,4,0.0,0.0,1.75,546.801794615211,496.0911321297718,433.1785418237135,2.82
2002,5,-0.03313765,-0.29932,1.75,548.6372455189752,496.1323990610752,433.24424053181207,2.93
2002,6,0.00566774,-0.48238,1.75,549.4541828510984,496.59342980482774,433.36894928743186,3.02
2002,7,0.0,0.0,1.73,543.1623733856262,496.9926378005465,433.58910689381787,3.25
2002,8,-0.1023151,-0.60374,1.74,538.421979554874,496.34545496613185,433.78526744215014,3.32
2002,9,-0.01267204,-1.01173,1.75,539.376390069205,496.58108479557023,433.96539593026324,3.53
2002,10,0.0,0.0,1.75,531.5813414164788,496.40891443927967,434.14780402764063,3.79
2002,11,-0.10318158,-0.53662,1.34,534.9533157932307,496.8011560233884,434.2466864047111,3.57
2002,12,0.01814157,-0.2987,1.24,531.8855017765585,497.4148688316428,434.3428727536664,3.42
2003,1,0.04342205,0.15934,1.24,532.1154600450794,497.15122329409667,434.64124103147117,3.3
2003,2,0.0,0.0,1.26,528.3711214158674,497.3979462937049,435.06133639681383,3.16
2003,3,0.00703319,-0.43291,1.25,525.4260980351117,496.8363856087355,435.3176955944818,3.14
2003,4,0.0,0.0,1.26,524.8338996741795,497.72657320757173,435.1477216934784,2.89
2003,5,-0.0901985,0.12916,1.26,527.6838334870913,498.0032418924238,435.03295479306274,2.81
2003,6,0.14221599,-0.20488,1.22,532.2863626966036,499.04920303501024,435.1412776056045,2.86
2003,7,0.0,0.0,1.01,533.0155123396788,499.30209923706326,435.434706556714,2.64
2003,8,-0.03448743,-0.07643,1.03,532.3107535355256,499.82329809914773,435.7721134645773,2.56
2003,9,-0.00339972,0.09982,1.01,534.2142846088066,500.34138649610156,436.0841301880897,2.52
2003,10,-0.0817273,-0.0135,1.01,533.7345753515515,500.6355321381573,436.09689701478464,2.44
2003,11,0.0,0.0,1.0,538.4540933296654,501.24457547261125,436.22320073457024,2.36
2003,12,0.02845916,-0.11632,0.98,539.2945495626818,501.4027536601781,436.4435310643477,2.33
2004,1,0.12624922,-0.91791,1.0,540.9411414053624,500.8062106213303,436.82952897875833,2.29
2004,2,0.0,0.0,1.01,541.0261164770021,501.6097374243331,437.0422061315747,2.19
2004,3,-0.05886477,-0.05315,1.0,546.5398373925707,502.3851114141496,437.19636724780423,2.28
2004,4,0.0,0.0,1.0,545.9542960047257,502.18505348308344,437.38180361239927,2.11
2004,5,0.00612909,0.36501,1.0,547.0672759030141,503.0135972894409,437.70643428440667,2.03
2004,6,-0.02737725,0.26758,1.03,545.7157035861427,502.3242786542223,437.9911900198316,2.05
2004,7,0.0,0.0,1.26,545.9415286890364,503.48385271021004,438.08384290370725,2.12
2004,8,0.04971448,-0.30232,1.43,540.8471375039928,503.60458166176335,438.13514067588136,2.18
2004,9,-0.01419391,0.0293,1.61,542.70623224386,503.6952359223253,438.3325790405501,2.14
2004,10,0.0,0.0,1.76,539.6985538344738,504.35817275668535,438.76110129677824,2.11
2004,11,-0.02838619,0.1175,1.93,540.285754582196,504.3213470627906,439.1457028402968,2.01
2004,12,-0.01455039,0.06497,2.16,543.1142259660543,504.9098240381021,439.1989341688088,1.92
2005,1,0.0,0.0,2.28,546.801794615211,505.9824700452291,439.33003468972566,1.8
2005,2,-0.01397984,0.01929,2.5,547.8845649720898,505.7296539846809,439.60774578965413,1.65
2005,3,0.06765631,-0.33953,2.63,547.9763540306037,505.83512316724983,439.90681005287337,1.56
2005,4,0.0,0.0,2.79,546.9577975982567,505.99570045498854,440.1866026000139,1.71
2005,5,0.005633,0.621,3.0,545.8904431195986,506.11487771062906,440.24295719440465,1.87
2005,6,0.04697282,-0.41325,3.04,547.9096067084477,507.1707287447348,440.3054001865957,1.86
2005,7,0.0,0.0,3.26,545.779668109336,507.27861004940326,440.72800655860124,1.77
2005,8,-0.01986487,0.21427,3.5,548.6869473092627,507.311689527054,441.13062717388624,1.7
2005,9,0.02471223,-0.15015,3.62,547.12197014255,506.54415598406064,442.0910752723848,1.83
2005,10,0.0,0.0,3.78,548.2595341640379,506.8120761220306,442.2508571381033,1.84
2005,11,0.00645912,0.2192,4.0,547.8261098556027,507.5122689797558,442.0417676822263,1.85
2005,12,-0.02711052,0.52662,4.16,548.5419146514981,508.5365400839733,442.0417676822263,1.85
2006,1,0.02985199,-0.22803,4.29,548.1347005925672,508.6482617840197,442.5253734607981,1.82
2006,2,0.0,0.0,4.49,547.9596713763548,508.9710547247891,442.58521142139114,1.7
2006,3,0.04601083,-0.62108,4.59,548.9226940528524,509.81484530577364,442.7788408370544,1.69
2006,4,0.0,0.0,4.79,549.108418120353,509.23600711730217,443.24226516284097,1.69
2006,5,0.05077098,-0.19309,4.94,549.7209208059954,509.60588829504456,443.51052094995384,1.64
2006,6,-0.04296139,0.54151,4.99,550.2033420196148,509.36011118758813,443.75677692001574,1.67
2006,7,0.0,0.0,5.24,551.3912500104917,509.0804177460907,444.09792712664176,1.67
2006,8,-0.04054683,-0.2469,5.25,553.1767620850885,509.44652410875096,444.41207644696766,1.71
2006,9,0.0178247,-0.26777,5.25,556.7084167886663,510.05966303221663,444.1497650165867,1.71
2006,10,-0.010461,-0.07474,5.25,556.3562093880881,510.5316261467882,443.91392141301174,1.69
2006,11,0.0,0.0,5.25,558.169016741172,511.1575769078681,443.94815323359353,1.6
2006,12,-0.03226615,0.26109,5.24,557.0860420157014,511.03411988499835,444.3027656231281,1.66
2007,1,-0.00805751,0.4816,5.25,559.2515662227614,510.9981746660413,444.63620101787757,1.58
2007,2,0.0,0.0,5.26,561.075302534101,511.76083484349147,444.94632958935273,1.56
2007,3,-0.08335045,0.81634,5.26,559.3334968097964,510.9737882861983,445.31139778894453,1.71
2007,4,0.0,0.0,5.25,560.8298946494585,511.69220207179836,445.5462952747063,1.7
2007,5,0.0365754,-0.13457,5.25,563.956390232955,511.6691280456411,445.8362480416091,1.64
2007,6,0.01206259,-0.27362,5.25,565.1400868974447,511.74581799721193,446.0479617866325,1.6
2007,7,0.0,0.0,5.26,562.9202596300465,511.4537413061675,446.2003955594366,1.65
2007,8,-0.04407997,-1.25388,5.02,560.5066501717043,512.6199045126343,446.26845376913354,1.98
2007,9,-0.20509211,1.32029,4.94,562.9453965365439,512.6918229219974,446.65286157616026,2.07
2007,10,0.05345248,-0.41526,4.76,567.0225691127358,512.3591434587892,446.95566271592446,1.95
2007,11,0.0,0.0,4.49,568.6670225046239,512.1819989165084,447.4845076311854,2.25
2007,12,0.0378258,-1.76769,4.24,571.4821321771417,512.289977297757,447.71549797654586,2.55
2008,1,-0.27966567,,3.94,570.2281348529934,512.2795035576074,447.9674987909885,2.8
2008,2,0.0,0.0,2.98,564.7423740986817,510.89921828625125,448.1668329000747,3.08
2008,3,0.1542557,0.47764,2.61,564.4846010432891,511.0449232336514,448.45268134657476,3.38
2008,4,-0.07965366,0.16293,2.28,567.407899528276,511.31242033898207,448.6375388673455,3.29
2008,5,0.0,0.0,1.98,567.0225691127358,511.18855126407146,449.065679919933,3.05
2008,6,-0.05339118,0.03392,2.0,568.2967334942281,512.0406254894075,449.7885598267991,2.97
2008,7,0.0,0.0,2.01,561.3018611342612,511.1432184915431,450.2528194016212,3.15
2008,8,-0.03600638,0.13432,2.0,564.4987428145695,510.85497561850923,450.1718957591886,3.26
2008,9,0.10555427,-0.62947,1.81,566.9811955085048,510.03367064854643,450.2550355663266,3.62
2008,10,-0.11447943,,0.97,565.3541258219454,509.9306852667619,449.5924354478613,5.07
2008,11,-0.09246889,1.64061,0.39,553.6073630230092,511.1555911425641,448.40528477178276,5.68
2008,12,-0.24761027,1.59331,0.16,551.5724496010309,509.8614751258989,447.84498312088556,6.01
2009,1,-0.01051577,-0.1973,0.15,550.8010870137841,510.2034223515318,447.8563334721912,5.62
2009,2,0.0,0.0,0.22,542.8292442969782,509.75999173739694,448.035498249613,5.21
2009,3,-0.06080585,1.80819,0.18,535.3136936312144,509.35579274464783,447.92554273084073,5.6
2009,4,0.01684608,0.62292,0.15,538.8020949629815,509.15392528838083,448.0683480865088,5.46
2009,5,0.0,0.0,0.18,541.7920966193868,509.1712529918783,448.172490000586,4.77
2009,6,0.03844336,-0.6802,0.21,547.1261761529395,508.77289308529373,448.76471165375665,3.78
2009,7,0.0,0.0,0.16,547.302669033985,508.5573376554311,448.7759580970807,3.53
2009,8,-0.01414656,-0.26438,0.16,553.2796427525992,508.9901948997915,449.065679919933,2.99
2009,9,-0.08797793,0.52867,0.15,554.0832079541503,508.8935959016314,449.22702087726407,2.91
2009,10,0.0,0.0,0.12,557.2876204808402,509.9099441791883,449.6058197904312,2.9
2009,11,-0.0248939,0.08621,0.12,558.327071942856,509.4683180072263,449.855332590445,2.92
2009,12,0.00162264,-0.05211,0.12,562.0799337041543,508.93047445437423,449.913166275729,2.78
2010,1,0.02768005,0.09656,0.11,561.4222397943558,509.4777363493904,450.13196408618643,2.52
2010,2,0.0,0.0,0.13,560.1675918384825,509.66993236791484,450.129745192305,2.65
2010,3,-0.0358241,0.19305,0.16,562.8304333480244,510.31391617336163,450.27054734422904,2.54
2010,4,-0.00672185,0.16698,0.2,566.3411767179517,510.89552710222443,450.32481962627077,2.4
2010,5,0.0,0.0,0.2,564.7705828435795,510.9332139786659,450.3569260871414,2.63
2010,6,0.0037771,0.34692,0.18,559.919943446376,511.51877403610547,450.3148534558742,3.03
